DATE,USD/EURO,OIL,DOW JONES,J&J,AMOZON,APPLE,BERKSHIRE,GOOGLE,Volume,Close
10/2/13,0.7365,104.1,15133.13965,87.290001,320.51001,69.937141,114.410004,444.439453,3148600000,1693.869995
10/3/13,0.7344,103.31,14996.48047,86.580002,314.76001,69.058571,113.370003,438.48349,3279650000,1678.660034
10/4/13,0.7376,103.84,15072.58008,87.309998,319.040009,69.004288,113.75,436.611603,2880270000,1690.5
10/7/13,0.7362,103.03,14936.24023,86.589996,310.029999,69.678574,112.860001,433.303314,2678490000,1676.119995
10/8/13,0.7368,103.49,14776.53027,85.610001,303.230011,68.705711,111.370003,427.262268,3569230000,1655.449951
10/9/13,0.7393,101.61,14802.98047,85.959999,298.230011,69.512856,111.769997,428.358368,3577840000,1656.400024
10/10/13,0.7397,103.01,15126.07031,87.779999,305.170013,69.94857,114.839996,434.554565,3362300000,1692.560059
10/11/13,0.7385,102.02,15237.11035,89.449997,310.890015,70.401428,115.809998,436.431427,2944670000,1703.199951
10/14/13,0.7374,102.41,15301.25977,89.800003,310.700012,70.862854,116,438.4935,2580580000,1710.140015
10/15/13,0.7394,101.21,15168.00977,89.93,306.399994,71.239998,114.629997,441.446442,3327740000,1698.060059
10/16/13,0.7389,102.29,15373.83008,91.110001,310.48999,71.587143,116.690002,449.464478,3486180000,1721.540039
10/17/13,0.7312,100.67,15371.65039,91.970001,310.769989,72.071426,116.919998,444.839844,3453590000,1733.150024
10/18/13,0.7307,100.81,15399.65039,91.629997,328.929993,72.69857,116.970001,506.211212,3664890000,1744.5
10/21/13,0.7308,99.22,15392.2002,91.199997,326.440002,74.480003,116.889999,502.152161,3052710000,1744.660034
10/22/13,0.7256,97.8,15467.66016,92.360001,332.540009,74.267143,117.489998,504.003998,3850840000,1754.670044
10/23/13,0.7258,96.86,15413.33008,92.099998,326.76001,74.994286,116.410004,516.221191,3713380000,1746.380005
10/24/13,0.7247,97.11,15509.20996,92.349998,332.209991,75.987144,116.839996,513.288269,3671700000,1752.069946
10/25/13,0.7244,97.85,15570.28027,92.089996,363.390015,75.137146,117.029999,508.108093,3175720000,1759.77002
10/28/13,0.7255,98.68,15568.92969,92.389999,358.160004,75.697144,116.940002,508.007996,3282300000,1762.109985
10/29/13,0.7275,98.2,15680.34961,93.139999,362.700012,73.811432,117.410004,518.638611,3358460000,1771.949951
10/30/13,0.728,96.77,15618.75977,92.790001,361.079987,74.985718,116.339996,515.725708,3523040000,1763.310059
10/31/13,0.7361,96.38,15545.75,92.610001,364.029999,74.671425,115.089996,515.805786,3826530000,1756.540039
11/1/13,0.7414,94.61,15615.54981,93.370003,359,74.290001,115.269997,514.034058,3686290000,1761.640015
11/4/13,0.7399,94.62,15639.12012,93.029999,358.73999,75.25,114.870003,513.568542,3194870000,1767.930054
11/5/13,0.7421,93.37,15618.21973,92.809998,358.890015,75.064285,114.360001,511.271271,3516680000,1762.969971
11/6/13,0.74,94.8,15746.87988,93.040001,356.179993,74.417145,114.910004,511.886902,3322100000,1770.48999
11/7/13,0.7452,94.2,15593.98047,92.690002,343.559998,73.21286,113.830002,504.479492,4143200000,1747.150024
11/8/13,0.7479,94.6,15761.78027,94.050003,350.309998,74.365715,115.879997,508.523529,3837170000,1770.609985
11/11/13,0.746,95.14,15783.09961,94.290001,354.380005,74.150002,115.650002,505.800812,2534060000,1771.890015
11/12/13,0.7442,93.04,15750.66992,93.559998,349.529999,74.28714,114.209999,506.396393,3221030000,1767.689941
11/13/13,0.7414,93.88,15821.62988,93.339996,356.220001,74.375717,114.809998,516.75177,3327480000,1782
11/14/13,0.7429,93.76,15876.21973,93.919998,367.399994,75.451431,115.690002,518.133118,3139060000,1790.619995
11/15/13,0.741,93.84,15961.7002,94.389999,369.170013,74.998573,116.300003,517.297302,3254820000,1798.180054
11/18/13,0.7405,93.03,15976.01953,94.300003,366.179993,74.089996,115.900002,516.291321,3168520000,1791.530029
11/19/13,0.7386,93.34,15967.03027,94.860001,364.940002,74.221428,115.839996,513.113098,3224450000,1787.869995
11/20/13,0.7441,93.33,15900.82031,95.150002,362.570007,73.571426,114.900002,511.666656,3109140000,1781.369995
11/21/13,0.7418,95.44,16009.99023,95.199997,368.920013,74.44857,116.419998,517.552551,3256630000,1795.849976
11/22/13,0.7376,94.84,16064.76953,95.25,372.309998,74.257141,116.959999,516.461487,3055140000,1804.76001
11/25/13,0.7399,94.09,16072.54004,95.629997,376.640015,74.82,115.629997,523.488464,2998540000,1802.47998
11/26/13,0.7369,93.68,16072.79981,95.059998,381.369995,76.199997,116.580002,529.734741,3427120000,1802.75
11/27/13,0.7365,92.3,16097.33008,94.980003,386.709991,77.994286,116.580002,532.087097,2613590000,1807.22998
11/29/13,0.7358,92.72,16086.41016,94.660004,393.619995,79.438568,116.529999,530.325317,1598300000,1805.810059
12/2/13,0.7385,93.82,16008.76953,94.279999,392.299988,78.747147,115.330002,527.767761,3095430000,1800.900024
12/3/13,0.7359,96.04,15914.62012,93.970001,384.660004,80.902855,114.790001,527.157166,3475680000,1795.150024
12/4/13,0.7357,97.2,15889.76953,93.629997,385.959991,80.714287,115.300003,529.619629,3610540000,1792.810059
12/5/13,0.7317,97.38,15821.50977,92.970001,384.48999,81.128571,114.959999,529.199219,3336880000,1785.030029
12/6/13,0.7297,97.65,16020.2002,94.440002,386.950012,80.002853,116.660004,535.470459,3150030000,1805.089966
12/9/13,0.7279,97.34,16025.53027,94.440002,384.890015,80.918571,117.139999,539.609619,3129500000,1808.369995
12/10/13,0.7267,98.51,15973.12988,94.139999,387.779999,80.792854,115.610001,542.872864,3117150000,1802.619995
12/11/13,0.7254,97.44,15843.53027,93.110001,382.190002,80.194283,114.510002,539.184204,3472240000,1782.219971
12/12/13,0.727,97.5,15739.42969,91.160004,381.25,80.077141,114.379997,535.515503,3306640000,1775.5
12/13/13,0.7276,96.6,15755.36035,91.349998,384.23999,79.204285,114.059998,530.925903,3061070000,1775.319946
12/16/13,0.7267,97.48,15884.57031,91.370003,388.970001,79.64286,113.959999,537.027039,3209890000,1786.540039
12/17/13,0.7263,97.22,15875.25977,90.660004,387.649994,79.284286,113.629997,535.465454,3270030000,1781
12/18/13,0.7307,97.8,16167.96973,92.639999,395.959991,78.681427,116.139999,542.917908,4327770000,1810.650024
12/19/13,0.7319,98.77,16179.08008,91.980003,395.190002,77.779999,116.360001,543.653625,3497210000,1809.599976
12/20/13,0.7315,99.32,16221.13965,92.089996,402.200012,78.431427,115.599998,550.86084,5097700000,1818.319946
12/23/13,0.7301,98.91,16294.61035,92.029999,402.920013,81.441429,117.040001,558.108093,2851540000,1827.98999
12/24/13,0.7308,99.22,16357.54981,92.059998,399.200012,81.095711,117.43,556.476501,1307630000,1833.319946
12/26/13,0.7304,99.55,16479.88086,92.540001,404.390015,80.557144,117.989998,559.289307,1982270000,1842.02002
12/27/13,0.7277,100.32,16478.41016,92.349998,398.079987,80.012856,118,559.759766,2052920000,1841.400024
12/30/13,0.7244,99.29,16504.28906,92.300003,393.369995,79.21714,118.040001,555.285278,2293860000,1841.069946
12/31/13,0.7275,98.42,16576.66016,91.589996,398.790009,80.145714,118.559998,560.915894,2312840000,1848.359985
1/2/14,0.7314,95.44,16441.34961,91.029999,397.970001,79.01857,117.5,557.117126,3080600000,1831.97998
1/3/14,0.7359,93.96,16469.99023,91.849998,396.440002,77.28286,117.57,553.05304,2774270000,1831.369995
1/6/14,0.7338,93.43,16425.09961,92.330002,393.630005,77.704285,116.279999,559.219238,3294850000,1826.77002
1/7/14,0.7345,93.67,16530.93945,94.290001,398.029999,77.148575,116.190002,570,3511750000,1837.880005
1/8/14,0.7366,92.33,16462.74023,94.160004,401.920013,77.637146,115.339996,571.186157,3652140000,1837.48999
1/9/14,0.7349,91.66,16444.75977,94.730003,401.01001,76.645714,115.32,565.685669,3581150000,1838.130005
1/10/14,0.7316,92.72,16437.05078,94.739998,397.660004,76.134285,114.970001,565.65564,3335710000,1842.369995
1/13/14,0.7315,91.8,16257.94043,94.5,390.980011,76.53286,114.010002,562.052063,3591350000,1819.199951
